id	surname	firstname	name	alternativename	province	politicalparty	fullname	fathername	picture	website	email and homepage 1	parliament_start_date	email and homepage 2	email and homepage 3	email and homepage 4	contact_info
94	Καμμενος	 Παναγιωτης	Πάνος Καμμένος		Β' ΑΘΗΝΩΝ	anel	Καμμένος Ηλία Παναγιώτης (Πάνος)	Ηλία	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/kamenos2.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=627c6800-82f2-4b66-83e6-3f8dcc78ee37	p.kammenos@anexartitoiellines.gr	17/6/2014				Αθήνα, Λ. Συγγρού 196 & Χαροκόπου 2, Τ.Κ. 17671,; τηλ: 210 9545074, FAX: 210 9545071; Αθήνα, Βουλή των Ελλήνων, Τ.Κ. 10021,; τηλ: 210 3708223
95	Κανελλη	 Γαρυφαλλια	Γαρυφαλλιά Κανέλλη 	Λιάνα Κανελλη	Α' ΑΘΗΝΩΝ	kke	Κανέλλη Χρήστου Γαρυφαλλιά (Λιάνα)	Χρήστου			kke@parliament.gr	17/6/2014				Αθήνα, Πινδάρου 32, Τ.Κ. 10678, τηλ: 210 2592111, FAX: 210 2592286, 3707410, 3707420, 3708168
96	Κανελλοπουλου	 Μαρια	Μαρία Κανελλοπούλου		ΑΧΑΪΑΣ	syriza	Κανελλοπούλου Ανδρέα Μαρία	Ανδρέα		http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=67583b34-ad9e-40a7-8266-24966262a13c	maria.kanello@gmail.com	17/6/2014				Αθήνα, Βουλής 4, Τ.Κ. 105 62,
97	Καπερναρος	 Βασιλειος	Βασίλειος Καπερνάρος		Β' ΑΘΗΝΩΝ	anel	Καπερνάρος Ηλία Βασίλειος	Ηλία			vkaperna@otenet.gr	17/6/2014	v.kapernaros@parliament.gr			Αθήνα, Πατησίων 130, Τ.Κ. 11257, τηλ: 210 8219390, Fax: 210 8817587
98	Καρα Γιουσουφ	 Αιχαν	Αϊχάν Καρά Γιουσούφ 		ΡΟΔΟΠΗΣ	syriza	Καρά Γιουσούφ Μεμέτ Αϊχάν			http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=dad5e41c-be01-49fa-b905-7d89c525bfa6	ayhankarayusuf@gmail.com	17/6/2014				Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557,
99	Καραγιαννιδης	 Χρηστος	Χρήστος Καραγιαννίδης		ΔΡΑΜΑΣ	syriza	Καραγιαννίδης Γεωργίου Χρήστος	Γεωργίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/karagiannidischristos_2.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=701c78da-6212-47e5-9195-d7f4511a739f	ckaragiannidis@parliament.gr	17/6/2014				Αθήνα, Βουλής 4, Τ.Κ. 105 62,
100	Καραγκουνης	 Κωνσταντινος	Κωνσταντίνος Καραγκούνης		ΑΙΤΩΛΙΑΣ ΚΑΙ AΚΑΡΝΑΝΙΑΣ	nd	Καραγκούνης Ανδρέα Κωνσταντίνος	Ανδρέα	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/KARAGOUNISKONSTANTINOS.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=897f098b-6295-48f2-85a2-b3625386a319	kkaragounis@gmail.com	17/6/2014				Αθήνα,; τηλ: 210 8820388, FAX: 210 8837090; Αγρίνιο, Αναστασιάδη 4, Τ.Κ. 30100,; τηλ: 26410 55816, 46603, FAX: 26410 46605
101	Καραθανασοπουλος	 Νικολαος	Νικόλαος Καραθανασόπουλος		ΑΧΑΪΑΣ	kke	Καραθανασόπουλος Πέτρου Νικόλαος	Πέτρου			kke@parliament.gr	17/6/2014				Αθήνα, Λεωφ. Ηρακλείου 145, Τ.Κ. 14231, τηλ: 210 2592111, FAX: 210 2592097, 3707410, 3707420, 3708168 Πάτρα, 12ου Συντάγματος 34, T.K. 26331, τηλ: 2610 222291, 225100, FAX: 2610 225100
102	Καραμανλή	 Άννα	Άννα Καραμανλή		Β' ΑΘΗΝΩΝ	nd	Καραμανλή Αρκαδίου Άννα	Αρκαδίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/karamanlianna_1.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=6918186f-ebe8-401c-88a8-7c26083a1f55	karamanlia@yahoo.gr	17/6/2014				Αμπελόκηποι, Λ. Μεσογείων 10, Τ.Κ. 11526,; τηλ: 210 7716626, 7791860, FAX: 210 7716673
103	Καραμανλης	 Κωνσταντινος	Κωνσταντίνος Καραμανλής		Α' ΘΕΣΣΑΛΟΝΙΚΗΣ	nd	Καραμανλής Αλεξάνδρου Κωνσταντίνος	Αλεξάνδρου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/karamanlis.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=d03ee571-015d-4ecd-9117-de54c6f9509f	karamanlis.office@gmail.com	17/6/2014				Αθήνα, Παναγή Κυριακού 21, Τ.Κ. 11521,; τηλ: 210 6459006, FAX: 210 6459086
104	Καραμπελας	 Ιωαννης	Ιωάννης Καράμπελας		ΒΟΙΩΤΙΑΣ	nd	Καράμπελας Δημητρίου Ιωάννης	Δημητρίου		http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=eddd89bb-2a89-4e79-b6f4-d896b4edf006	karampelas@parliament.gr;	17/6/2014	karampelas1@gmail.com			Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557,; τηλ: 210 3709355, FAX: 210 3709359; Λιβαδειά, Φίλωνος 16, Τ.Κ. 32100, τηλ/FAX: 22610 27120
105	Καρανασιος	 Ευθυμιος	Ευθύμιος Καρανάσιος		ΧΑΛΚΙΔΙΚΗΣ	nd	Καρανάσιος Βασιλείου Ευθύμιος	Βασιλείου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/karanasioseft_1.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=354c3f37-a16f-4c19-aec4-011f29cb6a1d	karef@karef.gr;	17/6/2014	e.karanasios@parliament.gr			Αθήνα, Βουλής 4, Τ.Κ. 105 62,; τηλ: 210 3239137, FAX: 210 3706051; Πολύγυρος, Χ. Τρικούπη 2, Τ.Κ. 63100,; τηλ: 23710 24960, 24470; FAX: 23710 21481
106	Καραογλου	 Θεοδωρος	Θεόδωρος Καράογλου		Β' ΘΕΣΣΑΛΟΝΙΚΗΣ	nd	Καράογλου Γεωργίου Θεόδωρος	Γεωργίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/karaogloutheod.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=3748608f-bfb7-4ba7-8c4e-e0c99baff2ae	info@karaoglou.gr;	17/6/2014	th.karaoglou@parliament.gr;	http://www.karaoglou.gr		Θεσσαλονίκη, Μοναστηρίου 13, Τ.Κ. 54627,; τηλ: 2310 525545, FAX: 2310 525547; Αθήνα, Βασ. Σοφίας 15, 6ος όροφος, γρ. 610, τηλ.: 210 3385555, FAX 210 3385556
107	Καρασμανης	 Γεωργιος	Γεώργιος Καρασμάνης 		ΠΕΛΛΗΣ	nd	Καρασμάνης Αθανασίου Γεώργιος	Αθανασίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/KARASMANISGEORGIOS.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=434805ad-6fe0-45d3-8c0a-80ab74f09f3b	karasmanis@parliament.gr	17/6/2014				Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557,; τηλ: 210 3709232, FAX: 210 3709230; Γιαννιτσά, Καποδιστρίου 10, Τ.Κ. 58100,; τηλ: 23820 83228,24220, FAX: 23820 82761
108	Κασαπιδης	 Γεωργιος	Γεώργιος Κασαπίδης 		ΚΟΖΑΝΗΣ	nd	Κασαπίδης Δημοσθένη Γεώργιος	Δημοσθένη			kasapidi@parliament.gr	17/6/2014	http://www.kasapidis.gr			Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557, τηλ: 210 3709312, FAX: 210 3709310 Κοζάνη, Βασιλείου Φόρη 1, T.K. 50100, τηλ: 24610 37208, FAX: 24610 37714 Πτολεμαΐδα, Πέρδικα 2, T.K. 50200, Τηλ: 24630 55622, FAX: 24630 55622
109	Κασιδιαρης	 Ηλιας	Ηλίας Κασιδιάρης		ΑΤΤΙΚΗΣ	xa	Κασιδιάρης Παναγιώτη Ηλίας	Παναγιώτη			i.kasidiaris@parliament.gr	17/6/2014				Αθήνα, Δηλιγιάννη 50, Τ.Κ. 10439, τηλ: 210 3707963, FAX: 210 3707958
110	Κασσης	 Μιχαηλ	Μιχαήλ Κασσής		ΙΩΑΝΝΙΝΩΝ	pasok	Κασσής Αριστείδη Μιχαήλ	Αριστείδη	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/kassismich.png	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=206f8e82-9d1c-4c9b-9ee7-fb19a57770af	info@mkassis.gr	17/6/2014				Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557, τηλ: 210 3709222, FAX: 210 3709220 Ιωάννινα, Τσιριγώτη 4, Τ.Κ. 45332, τηλ: 26510 25601, FAX: 26510 29746
111	Κατριβανου	 Βασιλικη	Βασιλική Κατριβάνου		Β' ΑΘΗΝΩΝ	syriza	Κατριβάνου Ηλία Βασιλική	Ηλία	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/Katrivanouvas.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=160dc649-1dc9-4865-80fd-b283a4bda0e3	v.katrivanou@parliament.gr	17/6/2014				Αθήνα, Μέγαρο Βουλής, Τ.Κ. 10021,
112	Κατσαφαδος	 Κωνσταντινος	Κωνσταντίνος Κατσαφάδος		Α' ΠΕΙΡΑΙΩΣ	nd	Κατσαφάδος Ιωάννη Κωνσταντίνος	Ιωάννη	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/katsafadoskonst.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=47500a44-f5df-44a1-900a-9961f1617232	katsafados@gmail.com	17/6/2014				Πειραιάς, Κουντουριώτου 138-140, Τ.Κ. 18532,; τηλ: 210 4221037, 4222141, 4222147, 4222148, FAX: 210 4100328
113	Κατσωτης	 Χρηστος	Χρήστος Κατσώτης		Β' ΑΘΗΝΩΝ	kke	Κατσώτης Περικλή Χρήστος	Περικλή			kke@parliament.gr	17/6/2014				Αθήνα, Ηρακλείου 145, Τ.Κ. 14231, τηλ: 210 2592111, FAX: 210 2592097, 3707410, 3707420, 3708168
114	Καφανταρη	 Χαρουλα	Χαρούλα Καφαντάρη 	Χαρά Καφανταρη	Β' ΑΘΗΝΩΝ	syriza	Καφαντάρη Φωτίου Χαρούλα (Χαρά)	Φωτίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/KafantariXaroula.png	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=7e61dcc1-8f87-44b3-b0b5-a16d5512660b	kafantari@parliament.gr	17/6/2014				Αθήνα, Κουμουνδούρου, Πλ. Ελευθερίας 1 & Πειραιώς, Τ.Κ. 10553,
115	Κεγκερογλου	 Βασιλειος	Βασίλειος Κεγκέρογλου		ΗΡΑΚΛΕΙΟΥ	pasok	Κεγκέρογλου Αλεξάνδρου Βασίλειος	Αλεξάνδρου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/gegeroglouvasilis.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=41bcd457-067d-42cd-bf41-a3b95913c3fe	info@kegeroglou.gr	17/6/2014				Αθήνα, Βουλής 4, Τ.Κ. 10562, τηλ: 210-3368291-2 και φαξ: 210-3368210. Ηράκλειο, Εμμ. Καστρινάκη 23, T.K. 71306, τηλ: 2810-331.333, 2810-333.900 fax 2810-333.901.
116	Κεδικογλου	 Σίμος	Συμεών Κεδίκογλου 	Σίμος Κεδικογλου	ΕΥΒΟΙΑΣ	nd	Κεδίκογλου Αγγέλου Συμεών	Αγγέλου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/kedikoglousimeonp.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=05076df8-df31-44dd-a556-3e13b568c000	symeonk@parliament.gr	17/6/2014				Αθήνα, Βουλής 4, Τ.Κ. 105 62, τηλ: 210 3706457, FAX: 210 3706057. Χαλκίδα, Ελ. Βενιζέλου & Φίλωνος 7, Τ.Κ. 34100, τηλ: 22210 83107, 83102, FAX: 22210 26528.
117	Κεδικογλου	 Συμεων	Συμεών Κεδίκογλου		ΕΥΒΟΙΑΣ	pasok	Κεδίκογλου Βασιλείου Συμεών (Σίμος)	Βασιλείου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/kedikoglou_simos.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=c2206e6b-48c9-412c-a777-23c8af8ce3f6	info@kedikoglou.gr;	17/6/2014	http://www.kedikoglou.gr			Χαλκίδα, Νεοφύτου 48Γ, Τ.Κ. 34100,; τηλ: 22210 61318, FAX: 22210 61319
118	Κελλας	 Χρηστος	Χρήστος Κέλλας		ΛΑΡΙΣΗΣ	nd	Κέλλας Αχιλλέα Χρήστος	Αχιλλέα	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/KellasAGL_5311.JPG	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=cdd3dfcc-cc96-4b22-93e8-5bdfe5b5dfd7	kellas.xristos@gmail.com;	17/6/2014	http://www.facebook.com/kellasxristos			Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557,; τηλ: 210 3709645-6, FAX: 210 3709649; Λάρισα, Πανός 7, 41222; τηλ. 2410 537257,7,9, FAX: 2410 537253
119	Κεφαλογιαννη	 Ολγα	Όλγα Κεφαλογιάννη		Α' ΑΘΗΝΩΝ	nd	Κεφαλογιάννη Ιωάννη Όλγα	Ιωάννη	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/FOTO%20KEFALOGIANNI%20OLGA.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=d5f08bed-96b4-4bba-8059-50f291212135	ol.kefalogianni@parliament.gr;	17/6/2014	http://www.olgakefalogianni.gr			Αθήνα, Λέκκα 3-5, Τ.Κ. 10563,; τηλ: 210 3315890-3, FAX: 210 3315894
120	Κεφαλογιαννης	 Εμμανουηλ	Εμμανουήλ Κεφαλογιάννης		ΗΡΑΚΛΕΙΟΥ	nd						17/6/2014				
121	Κεφαλογιαννης	 Ιωαννης	Ιωάννης Κεφαλογιάννης		ΡΕΘΥΜΝΟΥ	nd	Κεφαλογιάννης Αχιλλέα Ιωάννης	Αχιλλέα	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/kefalogiannisgiannis.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=b2564b3e-d13b-4f82-9c6c-03d8d3e4cdaf	ykefalogiannis@gmail.com;	17/6/2014	g.kefalogiannis@parliament.gr;	http://www.gianniskefalogiannis.gr		Ρέθυμνο, Χορτάτζη 30, Τ.Κ. 74100; τηλ.: 28310 42438-42446; FΑΧ: 28310 42439; Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557; τηλ.: 210 3709372, FAX: 210 3709370
122	Κικιλιας	 Βασιλειος	Βασίλειος Κικίλιας 		Α' ΑΘΗΝΩΝ	nd	Κικίλιας Παναγιώτη Βασίλειος	Παναγιώτη	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/kikiliasvasilios.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=717bc546-c5fd-42dd-beb7-515af3658b83	vassilis.kikilias@kikilias.gr;	17/6/2014	http://www.kikilias.gr			Αθήνα, Ακαδημίας 35, Τ.Κ. 10672, τηλ: 210 3390292-5, FAX: 210 3390296
123	Κλειτσιώτης	 Κωνσταντινος	Κωνσταντίνος Κλειτσιώτης		ΚΑΒΑΛΑΣ	nd	Κλειτσιώτης Χρήστου Κωνσταντίνος	Χρήστου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/kleitsiotiskonstantinos.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=71d4b4a7-f8c6-4577-9e87-6f5efd5222d3	k.kleitsiotis@parliament.gr;	17/6/2014	http://www.kkleitsiotis.com			Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557; τηλ: 210 3709571-2, FAX: 210 3709570; Καβάλα, Εθν. Αντιστάσεως 2, Τ.Κ. 65403,; τηλ: 2510 833357-8, FAX: 2510 833354.
124	Κοδελας	 Δημητριος	Δημήτριος Κοδέλας		ΑΡΓΟΛΙΔΟΣ	syriza	Κοδέλας Παναγιώτη Δημήτριος	Παναγιώτη		http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=0ec254a0-c614-4fb1-b559-c4256b372a1b	dimitriskodelas@gmail.com	17/6/2014				Αθήνα, Βουλής 4, Τ.Κ. 105 62
125	Κολλια-Τσαρουχα	 Μαρια	Μαρία Κόλλια-Τσαρουχά		ΣΕΡΡΩΝ	anel						17/6/2014				
126	Κολλιας	 Κωνσταντινος	Κώστας Κόλλιας		ΚΟΡΙΝΘΙΑΣ	nd	Κόλλιας Ταξιάρχου Κωνσταντίνος	Ταξιάρχου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/kolliaskon.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=78f75a97-b3a6-4db8-bef5-fda6c48bb499	po@kolliaskostas.gr;	17/6/2014	http://www.kolliaskostas.gr			Αθήνα, Βουλής 4, Τ.Κ. 105 62; τηλ: 210 3706325, 3706125 FAX: 210 3706525; Κόρινθος, Κολοκοτρώνη 6, Τ.Κ. 20100, τηλ: 27410 74770, 74772, FAX: 27410 74774
127	Κονσολας	 Εμμανουηλ	Εμμανουήλ Κόνσολας		ΔΩΔΕΚΑΝΗΣΟΥ	nd	Κόνσολας Νικία Εμμανουήλ	Νικία	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/konsolasem.JPG	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=7a289638-ac7c-430c-b3df-c0394f7b2cd0	Konsolasmanos@gmail.com;	17/6/2014	http://www.konsolasmanos.gr			Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557,; τηλ: 210 3709341, 3239365 FAX: 210 3709340; Ρόδος, Εθν. Μακαρίου 28, Τ.Κ. 85100,; τηλ: 22410 34320, 22410 77771, FAX: 22410 34920
128	Κοντογεωργος	 Κωνσταντινος	Κωνσταντίνος Κοντογεώργος		ΕΥΡΥΤΑΝΙΑΣ	nd	Κοντογεώργος Αθανασίου Κωνσταντίνος	Αθανασίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/kontogeorgos.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=220d1308-7dd9-426c-9496-ce7d06353e16	kostaskontogeorgos@gmail.com	17/6/2014				Αθήνα, Βουλής 4 10562; Τηλ.:210 3706149,210 3706349, Fax: 210 3706549; Καρπενήσι, Ζαχ. Παπαντωνίου 2, Τ.Κ: 36100; Τηλ.:22370 81010, 81011, Fax: 2237081011
129	Κοντογιαννης	 Γεωργιος	Γεώργιος Κοντογιάννης		ΗΛΕΙΑΣ	nd	Κοντογιάννης Δημητρίου Γεώργιος	Δημητρίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/kontogiannis_giorg.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=763f42c0-a861-400e-9d59-7bac410a491c	g-kont@otenet.gr;	17/6/2014	http://www.gdkontogiannis.gr/			Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557; τηλ: 210 3252920, 3252921, FAX: 210 3214625; Πύργος Ηλείας, 28ης Οκτωβρίου 11, Τ.Κ. 27100, τηλ: 26210 20880, FAX: 26210 20881
130	Κοντονης	 Σταυρος	Σταύρος Κοντονής		ΖΑΚΥΝΘΟΥ	syriza	Κοντονής Νικολάου Χαράλαμπος-Σταύρος	Νικολάου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/kontonisstavros_2.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=6beb3ce9-5edf-4e83-8708-aec27a5f3a5f	kontonis@otenet.gr	17/6/2014				Αθήνα, Σέκερη 1, Τ.Κ. 10671
131	Κοντος	 Αλεξανδρος	Αλέξανδρος Κοντός		ΞΑΝΘΗΣ	nd	Κοντός Ευστρατίου Αλέξανδρος	Ευστρατίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/kontosalex.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=bfe64134-95ae-4551-9aed-3fc99dca4c29	alekos.kontos@yahoo.gr;	17/6/2014	http://www.alexandroskontos.gr			Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557; τηλ: 210 3709362, FAX: 210 3709360; Ξάνθη, Καπνεργατών και Ανδρούτσου 11Α, Τ.Κ. 67100; τηλ: 25410 65552, FAX: 25410 62972.
132	Κουβελης	 Φωτιος-Φανουριος	Φώτιος-Φανούριος Κουβέλης		Β' ΑΘΗΝΩΝ	dimar	Κουβέλης Ευαγγέλου Φώτιος - Φανούριος	Ευαγγέλου			kouvelis@activenet.gr	17/6/2014	kouvelis@parliament.gr	http://www.kouvelis.gr		Αθήνα, Κριεζώτου 4, Τ.Κ. 10671 τηλ: 210 3820790, FAX: 210 3834831
133	Κουζηλος	 Νικολαος	Νικόλαος Κούζηλος 		Α' ΠΕΙΡΑΙΩΣ	xa	Κούζηλος Παναγιώτη Νικόλαος	Παναγιώτη			n.kouzilos@parliament.gr	17/6/2014				Αθήνα, Δηλιγιάννη 50, Τ.Κ. 10439 τηλ: 210 3707963, FAX: 210 3707958
134	Κουικ	 Τερενς-Σπενσερ-Νικολαος	Τέρενς-Σπένσερ-Νικόλαος Κουίκ		ΕΠΙΚΡΑΤΕΙΑΣ	anel	Κουίκ Φιλίππου Τέρενς - Σπένσερ - Νικόλαος	Φιλίππου		http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=7dbfb966-ecef-4939-b636-3c191f311d08	t.quick@parliament.gr	17/6/2014				Ιλίσια, Αλκμάνος 18, Τ.Κ. 11528; τηλ.: 210-7247590, Fax: 210-7247468
135	Κουκοδημος	 Κωνσταντινος	Κωνσταντίνος Κουκοδήμος		ΠΙΕΡΙΑΣ	nd	Κουκοδήμος Γεωργίου Κωνσταντίνος	Γεωργίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/koukodimoskostas.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=2a7c3904-7c3c-4b76-84f4-269984bdb5bd	info@koukodimos.gr;	17/6/2014	gtkoukodimos@gmail.com;	http://www.kostaskoukodimos.gr		Αθήνα, Βουλής 4, Τ.Κ. 10562; τηλ: 210 3706139-6339, FAX: 210 3706539; Κατερίνη, Αγ. Λαύρας 16, Τ.Κ. 60100; τηλ: 23510 22495, FAX: 23510 39829
136	Κουκουλοπουλος	 Παρασκευας	Παρασκευάς Κουκουλόπουλος 	Πάρις Κουκουλοπουλος	ΚΟΖΑΝΗΣ	pasok	Κουκουλόπουλος Δημητρίου Παρασκευάς (Πάρις)	Δημητρίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/koukoulopoulosparis.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=ac3c20b3-feab-41cc-b7bf-cc071209e5a9	info@koukoulopoulos.gr	17/6/2014				Αθήνα, Σέκερη 1, Τ.Κ. 10671, τηλ: 210 3675818, FAX: 210 3675617 Κοζάνη, Σαρανταπόρου 15, Τ.Κ 50100, τηλ : 24610 33268, FAX: 24610 30976.
137	Κουκουτσης	 Δημητριος	Δημήτριος Κουκούτσης 		ΜΕΣΣΗΝΙΑΣ	xa	Κουκούτσης Νικολάου Δημήτριος	Νικολάου			d.koukoutsis@parliament.gr	17/6/2014				Αθήνα, Δηλιγιάννη 50, Τ.Κ. 10439 τηλ: 210 3707963, FAX: 210 3707958
138	Κουντουρα	 ελενα	Έλενα Κουντουρά		Α' ΑΘΗΝΩΝ	anel	Κουντουρά Αλεξάνδρου Έλενα	Αλεξάνδρου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/kountoura.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=330cb710-0d04-4ca5-993d-ea32129457aa	kountoura.e@gmail.com	17/6/2014				Αθήνα, Λ. Συγγρού 196 & Χαροκόπου 2, Τ.Κ. 17671; τηλ: 210 9545041-2, 9545051, FAX: 210 7296101
