"V1";"V2"
"457";"): Ευχαριστούμε την κ. Σκραφνάκη.
Το λόγο έχει ο Ανεξάρτητος Βουλευτής Αχαΐας κ. Νικόλαος Τσούκαλης.";"Ροδούλα Ζήση"
"458";": Ευχαριστώ, κυρία Πρόεδρε.
Κυρίες και κύριοι συνάδελφοι, κύριε Υπουργέ, εισαγωγικά θα ήθελα να κάνω μια δήλωση τόσο δική μου όσο και της Δημοκρατικής Αριστεράς. Θα θέλαμε να δηλώσουμε την απογοήτευσή μας και την απαρέσκειά μας στο γεγονός ότι δυστυχώς ενδοκυβερνητικοί συσχετισμοί και ισορροπίες ουσιαστικά έχουν αποτρέψει το ελληνικό Κοινοβούλιο να τοποθετηθεί στο κρίσιμο για μας θέμα του Κώδικα περί Ναρκωτικών. Θεωρούμε ότι είναι μια δουλειά πλήρης από τη νομοπαρασκευαστική επιτροπή και από τους επιστήμονες και θα διαμόρφωνε ένα νέο πλαίσιο στο κρίσιμο αυτό θέμα για τη χώρα μας. 
Βρισκόμαστε, κυρίες και κύριοι συνάδελφοι, στην τελική φάση διαμόρφωσης ενός κειμένου, το οποίο με τα στάδια επεξεργασίας που έχει ακολουθήσει γίνεται πληρέστερο. 
Γι’ αυτό, βεβαίως, το γεγονός πρέπει να συγχαρούμε τον κύριο Υπουργό, γιατί η διαδικασία ήταν πραγματικά επίπονη. Με καλή θέληση, όμως, εκ μέρους του μπήκαν οι κατάλληλες πινελιές βελτίωσης στο νομοσχέδιο. Απομένουν κάποιες μικρές ακόμη. Και, βεβαίως, μπήκαν και θεμελιώδους σημασίας διατάξεις.
Εγώ δεν μπορώ να μην τοποθετηθώ στην κεφαλαιώδους και βαριάς σημασίας διάταξη που αφορά τα τροχαία ατυχήματα και, βεβαίως, στα θέματα των πινακίδων, που επιτέλους μετά από υποσχέσεις όλων των προηγούμενων κυβερνήσεων, επανειλημμένες ερωτήσεις και τοποθετήσεις που έχουν γίνει σε αυτή εδώ την Αίθουσα, περιέχονται σε ένα νομοσχέδιο.
Ποιες είναι οι πινελιές στις οποίες θέλω να επανέλθω; Υπάρχει ένα σοβαρό, αναπάντητο αίτημα που είχαμε θέσει, κύριε Υπουργέ, μία οξύμωρη ρύθμιση, ένα οξύμωρο σχήμα, για το οποίο, σας παρακαλώ πολύ, θέλω απάντηση: Το θέμα της παράλειψης αναφοράς του δικαιώματος της επανάληψης της διαδικασίας στην πολιτική δίκη σε περίπτωση ανατροπής μιας απόφασης από το Ευρωπαϊκό Δικαστήριο Ανθρωπίνων Δικαιωμάτων. Στο ν. 3900/2010, στο 105Α΄του νόμου, ενσωματώθηκε η συγκεκριμένη διάταξη στον Κώδικα Διοικητικής Δικαιοσύνης. Το 525 του Κώδικα Ποινικής Δικονομίας προβλέπει για την ποινική δίκη. Στο παρόν νομοσχέδιο το άρθρο 76 προβλέπει αυτήν τη διαδικασία επανάληψης της δίκης ενώπιον του Ελεγκτικού Συνεδρίου. Για ποιο λόγο δεν υπάρχει αντίστοιχη ρύθμιση για την Πολιτική Δικονομία; 
Δεν θέλω να πιστέψω αυτό το οποίο φτάνει στα αυτιά μου, ότι εάν το θεσπίσουμε και για την πολιτική δίκη λόγω των αποφάσεων, τότε θα γονατίσει το δημόσιο από τις αγωγές. Ελπίζω να μην ισχύει, γιατί ποιο είναι το οξύμωρο; Ένας δημόσιος υπάλληλος μόνιμος έχει διαφορετική μεταχείριση από έναν ιδιωτικού δικαίου. Διότι ο ιδιωτικού δικαίου δεν έχει δικαίωμα σε επανάληψη διαδικασίας κι ένας μόνιμος υπάλληλος που προσφεύγει στη διοικητική δικαιοσύνη έχει δυνατότητα.
Αυτό δεν είναι οξύμωρο; Σας παρακαλώ πολύ να μου απαντήσετε μέχρι την τελευταία στιγμή κι αν μπορείτε, βελτιώστε το.
Όσον αφορά τον τόκο της επιδικίας, σας ανέφερα και στην προηγούμενη συζήτηση για την πρόβλεψη αντίστοιχης ρύθμισης για το δημόσιο. Επιτέλους, κάποιοι να βάλουν μυαλό στο δημόσιο.
Για τη δικαστική διαμεσολάβηση επανέλαβα και την πρόταση που έχει καταθέσει η Οικονομική και Κοινωνική Επιτροπή, ούτως ώστε να υπάρχει πρόσβαση στη διαδικασία διαμεσολάβησης εάν το επιθυμεί κι ένας διάδικος και μάλιστα με πρόβλεψη κριτηρίων και κινήτρων και αντικινήτρων γι’ αυτόν που δεν την επιθυμεί.
Είμαστε αντίθετοι στο άρθρο 29 και στο θεσμό των μονομελών εφετείων. Το αναφέραμε προηγουμένως.
Αναφέρομαι στο υπόμνημα που έχουν καταθέσει οι άμισθοι υποθηκοφύλακες. Κύριε Υπουργέ, είδα ότι δεν προσθέσατε –εκτός αν έκανα λάθος- το εύλογο αίτημά τους, και οι υποθέσεις του Κτηματολογίου να περιλαμβάνονται στην αρμοδιότητα -τουλάχιστον για την ταυτότητα της διαδικασίας- των ειρηνοδικείων ή στο ίδιο δικαστήριο με τις άλλες εκούσιες.
 Και υπάρχει και το εύλογο αίτημα, το οποίο το βιώνω κι εγώ στην περιφέρειά μου, στο Αίγιο, όπου εδώ και καιρό είναι ακέφαλο το Υποθηκοφυλακείο Αιγίου και καταταλαιπωρείται ο κόσμος προκειμένου να βεβαιωθούν τα πιστοποιητικά, να ορισθεί ο πλησιέστερος υποθηκοφύλακας αναπληρωτής των θέσεων αυτών, που είναι κενές.
Το θέμα των ειρηνοδικείων: Είχα αναφερθεί την προηγούμενη φορά. Υπάρχει ένα αίτημα των ειρηνοδικών που πέτυχαν στο διαγωνισμό του 2011, όπου ζητούν, κύριε Υπουργέ, να επισπευσθεί η διαδικασία διορισμού τους.
Βεβαίως, ζητούν κάτι επίσης εύλογο, να εξαντληθεί ο κατάλογος και λόγω της οικονομικής συγκυρίας, ώστε να μην επαναλαμβάνονται οι διαγωνισμοί. Επειδή έχουμε ανάγκη ειρηνοδικών, ζητούν να εξαντληθεί ο κατάλογος των επιτυχόντων, προκειμένου να ανταπεξέλθουν και τα ειρηνοδικεία στο φόρτο εργασίας. 
Κύριε Υπουργέ, είναι θετικό ότι αποδεχθήκατε τη μία από τις τροπολογίες που είχα καταθέσει σε σχέση με τα αιτήματα της Ένωσης Εργατολόγων. 
Επίσης, θα αναφερθώ και εγώ σε αυτό που είπε ο κ. Τζαβάρας, ότι η πρόβλεψη παράστασης πολιτικής αγωγής στα αδικήματα που αφορούν εργασιακές διαφορές πρέπει να προβλεφθεί.";"ΝΙΚΟΛΑΟΣ ΤΣΟΥΚΑΛΗΣ"
"459";" (Υπουργός Δικαιοσύνης, Διαφάνειας και Ανθρωπίνων Δικαιωμάτων): Πρέπει να αλλάξουν κάποια άρθρα του Ποινικού Κώδικα.";"ΜΙΛΤΙΑΔΗΣ ΠΑΠΑΪΩΑΝΝΟΥ"
"460";": Μα, μπορεί να προβλεφθεί για υπεράσπιση της κατηγορίας.";"ΝΙΚΟΛΑΟΣ ΤΣΟΥΚΑΛΗΣ"
"461";" (Υπουργός Δικαιοσύνης, Διαφάνειας και Ανθρωπίνων Δικαιωμάτων): Δεν είναι τόσο απλό. Κατ’ αρχάς, είμαι θετικός, αλλά έχει πολλές δυσκολίες.";"ΜΙΛΤΙΑΔΗΣ ΠΑΠΑΪΩΑΝΝΟΥ"
"462";": Δείτε το, κύριε Υπουργέ.
Επίσης, ακόμη δεν έχω κατανοήσει για ποιο λόγο δεν υπάρχει πρόβλεψη -κάτι αναφέρατε στην ομιλία σας- για τις ενδικοφανείς προσφυγές, για τη γενίκευση αυτής της διαδικασίας.
Ακόμη, διάβασα την τροπολογία την οποία φέρατε, όσον αφορά τη δημιουργία ειδικής νομοπαρασκευαστικής επιτροπής στο Υπουργείο. Δεν ξέρω εάν είναι συμβατό αυτό με τις διατάξεις του νέου νομοσχεδίου για την ορθή νομοθέτηση.";"ΝΙΚΟΛΑΟΣ ΤΣΟΥΚΑΛΗΣ"
"463";" (Υπουργός Δικαιοσύνης, Διαφάνειας και Ανθρωπίνων Δικαιωμάτων): Γιατί όχι;";"ΜΙΛΤΙΑΔΗΣ ΠΑΠΑΪΩΑΝΝΟΥ"
"464";": Δεν ξέρω εάν είναι συμβατό. Μήπως χρειαστεί μετά από ένα-δυο μήνες να το αλλάξουμε και να το ξαναδιαμορφώσουμε; 
Θέλω να τελειώσω με κάποια από τα αιτήματα που έχουν επανειλημμένως υποβληθεί –αναφέρθηκαν και προηγούμενοι συνάδελφοι- μέσα από τα υπομνήματα της Ένωσης Δικαστών και Εισαγγελέων.
Κύριε Υπουργέ, έχω την εντύπωση ότι τουλάχιστον σε δύο από τα αιτήματα, όσον αφορά δηλαδή τη διαδικασία αλλαγής των κανονισμών, τη συμπλήρωση των κανονισμών κ.λπ., η διατύπωση την οποία χρησιμοποιούν είναι πληρέστερη απ’ αυτήν που έχετε εσείς στο νομοσχέδιο.
Το δεύτερο θέμα είναι αυτό που ανέφερε και ο κ. Παυλόπουλος προηγουμένως. Θα μου επιτρέψετε να σας πω ότι η διατύπωση του περιεχομένου, ότι ως μη παροχή υπηρεσίας νοείται κατά την κρίση των οργάνων που αναφέρονται στην προηγούμενη παράγραφο συζήτηση μη ικανού αριθμού υποθέσεων –στέκομαι μόνο σε αυτό, δεν στέκομαι στις άλλες αναφορές, οι οποίες μπορεί να προσεγγίζουν στην αντικειμενική αξιολόγηση- δεν συνάδει με το αντικειμενικό σύστημα που πρέπει να επικρατεί σε τέτοια νομοθετήματα. Ξέρουμε πολύ καλά όσοι τουλάχιστον ασχολούμαστε με τη δικηγορία ότι είναι πολύ εύκολο ένας δικαστής με σύντομη ελλιπέστατη δικαιολογία να καταθέσει εν είδει fast track ή δουλειάς με το κομμάτι, για να ανταποκριθεί στη συγκεκριμένη διάταξη. Ξέρουμε πολύ καλά ότι ένας δικαστής, ο οποίος θα αναπτύξει πλήρως τις σκέψεις του και στη μείζονα και στην ελάσσονα πρόταση και στο διατακτικό του, με όλα τα στοιχεία της νομολογίας που χρειάζεται, ίσως να μην μπορεί να ανταποκριθεί στη συγκεκριμένη πρόβλεψη. Τα άλλα μπορείτε να τα διατηρήσετε, εγώ δεν έχω αντίρρηση. Όμως, αυτό θα προκαλέσει τριβές, οι οποίες θα πλήξουν και το κύρος της δικαιοσύνης και την προσωπική και λειτουργική ανεξαρτησία των Ελλήνων δικαστών.
Κύριε Υπουργέ, στα περισσότερα άρθρα είμαστε υπέρ. Ανέφερα λίγο έως πολύ σε ποια άρθρα έχουμε επιφυλάξεις.
Ευχαριστώ.";"ΝΙΚΟΛΑΟΣ ΤΣΟΥΚΑΛΗΣ"
"465";"): Ευχαριστούμε τον κ. Νικόλαο Τσούκαλη.
Κυρίες και κύριοι συνάδελφοι, έχω την τιμή να σας ενημερώσω ότι από τα άνω δυτικά θεωρεία παρακολουθούν την συνεδρίασή μας, αφού πρώτα ενημερώθηκαν για την ιστορία του κτηρίου και τον τρόπο οργάνωσης και λειτουργίας της Βουλής των Ελλήνων, σαράντα ένας μαθητές και μαθήτριες και τέσσερις εκπαιδευτικοί από το Γενικό Λύκειο Συκουρίου Λάρισας.
Η Βουλή σάς καλωσορίζει.
(Χειροκροτήματα απ’ όλες τις πτέρυγες της Βουλής)
Πρόκειται για μία πολύ ωραία περιοχή, όπου πήγαινα μικρή και παρακολουθούσα εκεί μαθήματα, γιατί ήταν δάσκαλος ο θείος μου, ο Ηλίας Λεπίδας. Σας καλωσορίζουμε και πάλι.
Το λόγο έχει ο Βουλευτής Ηρακλείου του ΠΑΣΟΚ, ο κ. Βασίλειος Κεγκέρογλου.";"Ροδούλα Ζήση"
"466";": Ευχαριστώ, κυρία Πρόεδρε.
Θα ήθελα κατ’ αρχάς να επισημάνω ότι έχουμε σήμερα προς συζήτηση μία πάρα πολύ σημαντική δουλειά που αφορά την απονομή της δικαιοσύνης. Όχι ότι δεν έγιναν και άλλες σημαντικές επεξεργασίες στο παρελθόν, οι οποίες πήραν τη μορφή διατάξεων και νομοθετήθηκαν, αλλά αυτή η συγκεκριμένη δουλειά φαίνεται να είναι καλά επεξεργασμένη, άρα να είναι και αποτελεσματική, γιατί το ζητούμενο είναι το αποτέλεσμα. Και αποτέλεσμα, παρά τις πολλές νομοθετικές παρεμβάσεις που είχαμε μέχρι σήμερα, δεν είχαμε δει, τέτοιο τουλάχιστον που να αλλάζει τα δεδομένα. Και ποια είναι τα δεδομένα; Υπάρχει μεγάλη καθυστέρηση στην απονομή της δικαιοσύνης πέραν των άλλων. Αυτή η μεγάλη καθυστέρηση, βέβαια, δεν οφείλεται σε έναν παράγοντα και γι’ αυτό ακριβώς και η αντιμετώπιση του φαινομένου είναι δύσκολη. Εδώ έχουμε πλέον εκείνο το θεσμικό πλαίσιο που θα επιτρέψει να γίνει αποτελεσματική. Να έχουμε συντόμευση των διαδικασιών, χωρίς να έχουμε υποβάθμιση του έργου των δικαστηρίων. Χρειάζεται, όμως και ανθρώπινο δυναμικό και είναι καλό το γεγονός για τα ειρηνοδικεία που έχουν φορτωθεί με επιπλέον δραστηριότητες το τελευταίο διάστημα και θα φορτωθούν ακόμη περισσότερο. Αναφέρω ως παράδειγμα την εκδίκαση των υποθέσεων που αφορούν τα υπερχρεωμένα νοικοκυριά που είναι μία πάρα πολύ σημαντική δουλειά. Ήδη υπάρχει «παραβίαση» του νόμου που αφορά τον εξάμηνο ορισμό δικασίμου. Αυτό, όμως, εκ των πραγμάτων δεν μπορεί να γίνει. Άρα, ο διορισμός ειρηνοδικών είναι κάτι πάρα πολύ σημαντικό και γενικότερα η στελέχωση που πρέπει να γίνει σε αυτόν τον πρώτο βαθμό που φορτώνεται με επιπλέον αρμοδιότητες. Το ίδιο βέβαια ισχύει και για τα πρωτοδικεία και για όλα τα επίπεδα απονομής της δικαιοσύνης.
Να πω, όμως και μία κουβέντα για τη συζήτηση η οποία γίνεται σε σχέση με το μισθολόγιο. Γίνεται συζήτηση ότι το επόμενο διάστημα θα έρθει μείωση στο ειδικό μισθολόγιο στο οποίο περιλαμβάνονται και οι δικαστικοί. Θα έλεγα ότι το κόστος το δημοσιονομικό και αυτό που είναι για την οικονομία γενικότερα για τους πολίτες από την καθυστέρηση της δικαιοσύνης, είναι πολύ περισσότερο από αυτό που θα εξοικονομήσουμε, εάν δεν το συνδυάσουμε με την εφαρμογή αυτού του νόμου και την επιτάχυνση των διαδικασιών. Θα πρέπει να το δούμε, δηλαδή, διαφορετικά σε σχέση με την απλή παροχή υπηρεσιών, που κάνουν άλλες κατηγορίες δημοσίων λειτουργών ή υπαλλήλων. Έχουμε βέβαια καιρό να το δούμε.
 Πάντως, θα πρέπει άπαξ να λυθεί το θέμα των προθεσμιών με όποιο κόστος, ακόμα και με αύξηση των αμοιβών της υπερωριακής απασχόλησης ή δεν ξέρω τι άλλο. Δεν μπορεί όταν έχουμε διάστημα τεσσάρων μηνών –νομίζω- για να εκδοθεί μία απόφαση, να παίρνουμε παράταση για την έκδοσή της άλλους τέσσερις μήνες και εάν χρεωθεί σε άλλο δικαστή, να γίνει αυτό για άλλους οκτώ. Σύνολο, δηλαδή, δεκαέξι μήνες. Θα πρέπει με όποιο οικονομικό κόστος, αυτό να μείνει στους τέσσερις μήνες. Τι σημαίνει; Όφελος γενικότερα για την οικονομία, αλλά και για το δημόσιο και κυρίως έχουμε αυτό που λέμε «απρόσκοπτη απονομή δικαιοσύνης».
Τελειώνω δίνοντας, αν θέλετε, τα συγχαρητήρια μου και στον Υπουργό, αλλά και σε όλους όσους πρότειναν τις διατάξεις κατά καιρούς που ενσωματώθηκαν. Η μία αφορά την επαναφορά σε πλημμέλημα του αδικήματος που έχει να κάνει με τις διαφημιστικές πινακίδες και το ζήτημα της μέθης, το οποίο έχει βέβαια και άλλες διαστάσεις. Δεν αρκεί μόνο η ποινή. Εκεί πρέπει να τον περνάμε και από σεμινάριο στη συνέχεια, αλλά δεν ξέρω εάν έχουμε τις δομές στη χώρα μας για να το κάνουμε. Υποχρεωτικό σεμινάριο σε αυτόν, ο οποίος θα συλλαμβάνεται να οδηγεί σε κατάσταση μέθης. 
Θέλω να συγχαρώ και για τη δεύτερη πρωτοβουλία που ενσωματώθηκε στην τροπολογία του Υπουργού, όπου στις περιπτώσεις σωματικών βλαβών, ιδιαίτερα όταν προκαλούν αναπηρία 67% και άνω, στις περιπτώσεις εκκαθάρισης των εταιρειών, να έχουν σειρά πριν τις τράπεζες. Και αυτό είναι πραγματικά μία μεγάλη πράξη δικαιοσύνης, παρότι μπορεί να απασχολεί λίγους συμπολίτες. Δεν έχει σημασία. Σημασία έχει αυτό που έπρεπε να γίνει και γίνεται σήμερα.
Σας ευχαριστώ, κυρία Πρόεδρε και εύχομαι πραγματικά αυτό το νομοθέτημα να είναι και αποτελεσματικό.";"ΒΑΣΙΛΕΙΟΣ ΚΕΓΚΕΡΟΓΛΟΥ"
"467";"): Ευχαριστούμε τον κ. Κεγκέρογλου, Βουλευτή ΠΑΣΟΚ Νομού Ηρακλείου.
Η κ. Ευγενία Τσουμάνη – Σπέντζα, Βουλευτής Επικρατείας της Νέας Δημοκρατίας, να λάβει το λόγο. 
ΕΥΓΕΝΙΑ ΤΣΟΥΜΑΝΗ – ΣΠΕΝΤΖΑ: Ευχαριστώ, κυρία Πρόεδρε.
Κυρίες και κύριοι συνάδελφοι, κύριε Υπουργέ, στο υπό συζήτηση σχέδιο νόμου εκτιμούμε ότι εισάγονται θετικές και αρκετά καινοτόμες σε ορισμένα σημεία ρυθμίσεις, προκειμένου να υπηρετείται το συνταγματικά κατοχυρωμένο δικαίωμα για την παροχή αποτελεσματικής δικαστικής προστασίας, αλλά και για την εκδίκαση των υποθέσεων των πολιτών εντός ευλόγου χρονικού διαστήματος. 
Σε αυτό το πλαίσιο περιλαμβάνονται μεταξύ άλλων ρυθμίσεις όπως ο θεσμός της δικαστικής μεσολάβησης για μία αξιόπιστη εξωδικαστική επίλυση των διαφορών, καθώς και ο θεσμός της δίκαιης ικανοποίησης που παρέχει στους διαδίκους τη δυνατότητα αποκατάστασης της ζημιάς λόγω της υπερβολικής καθυστέρησης του δικαστηρίου. 
Ωστόσο, αποτελεί ερώτημα εάν το σύνολο των καινοτόμων παρεμβάσεων εξυπηρετούν την ασφάλεια δικαίου και αν αυτές σχεδιάστηκαν με βάση συγκεκριμένη αξιολόγηση της αποτελεσματικότητας των προηγούμενων νόμων, μιας και μόνο έτσι νομίζω μπορούμε να βαδίζουμε σε αλλαγές. Μόνο έτσι εξασφαλίζεται η σκοπιμότητα μέτρων που λαμβάνονται. 
Είναι δε σαφές ότι καμμία δικονομική μεταρρύθμιση για τη μείωση του φόρτου εργασίας των δικαστηρίων δεν μπορεί να επιτευχθεί αν δεν υπάρξει δραστική μείωση των ενδίκων μέσων που χρησιμοποιούν με τόσο εξαντλητικό τρόπο και πολλές φορές με εμμονή το δημόσιο και τα νομικά πρόσωπα δημοσίου δικαίου που αναπαράγουν, αν θέλετε, μία στεγνή γραφειοκρατία χωρίς να δίδεται βάρος στην ουσία.
Άλλωστε, σύμφωνα και με τη νομολογία του Ευρωπαϊκού Δικαστηρίου τα καλύτερα μέτρα αντιμετώπισης ενός τέτοιου προβλήματος είναι πάντοτε τα προληπτικά. Ωστόσο, θα ήθελα, κύριε Υπουργέ, να αναφερθώ όχι τόσο σε δικονομικά ζητήματα στη συζήτηση επί των άρθρων, όσο σε ορισμένα θέματα που κατά την εκτίμησή μου θίγουν ζητήματα θεμελιωδών δικαιωμάτων του ανθρώπου, έτσι όπως και από την Εθνική Επιτροπή Δικαιωμάτων του Ανθρώπου θίγονται και για την οποία εχθές στην Ειδική Κοινοβουλευτική Επιτροπή Ισότητας Ανθρωπίνων Δικαιωμάτων και Νεολαίας, εθίγησαν. Ήταν και ο Γενικός Γραμματέας παρών. 
Θεωρώ, κύριε Υπουργέ, ότι σε δύσκολες εποχές που βιώνουμε την κατάλυση ή την αμφισβήτηση πολλών απ’ αυτών, είναι σκόπιμο αυτά να μην τα ξεχνάμε γιατί αποτελούν τους πυλώνες του δημοκρατικού και κοινωνικού κράτους. 
Έτσι, λοιπόν, ήθελα να αναφέρω ότι εισάγεται για παράδειγμα, μεταξύ άλλων, ως μέτρο της επίλυσης της υπερβολικής διάρκειας της δίκης, η αύξηση των παραβόλων για την άσκηση ενδίκων βοηθημάτων και μέσων. Αν σημείωσα καλά, κύριε Υπουργέ, ίσως μειώσατε ή προτίθεστε να μειώσετε κάποια από αυτά. Ωστόσο,εκτιμώ ότι ένας μεγάλος αριθμός πολιτών θίγεται από αυτό, ιδίως τα τελευταία χρόνια που υφίσταται ατελείωτες και συνεχείς περικοπές εισοδημάτων και πολλοί από τους συμπολίτες μας αγγίζουν τα όρια της φτώχειας και του κοινωνικού περιθωρίου. 
Όπως επισημαίνει και η ίδια η Εθνική Επιτροπή για τα Δικαιώματα του Ανθρώπου, με αυτή την αύξηση δυσχεραίνεται η πρόσβαση στη δικαιοσύνη για τους πολίτες, καθώς μόνο αυτοί είναι υπόχρεοι στην καταβολή τους. Ως εκ τούτου, εγώ συντάσσομαι με την πρόταση της Εθνικής Επιτροπής Δικαιωμάτων του Ανθρώπου για την κατάργησή τους ή σε κάθε περίπτωση για τη δραστική μείωσή τους. 
Με επιφύλαξη επίσης θα πρέπει να δει κανείς τις προβλέψεις για τη μεταφορά αρμοδιοτήτων σε μονομελή δικαστήρια και ειρηνοδικεία και την ίδρυση μονομελών δικαστηρίων, όπως είναι τα μονομελή εφετεία, διότι ενδέχεται να προκαλέσουν σύγχυση στο δικαιοδοτικό σύστημα και αμφιβολίες ως προς την ποιότητα της δικαιοσύνης.
Επίσης, θέλω να σταθώ και στην ανάγκη να προστατευθεί το δικαίωμα της προσωρινής δικαστικής προστασίας, η δυνατότητα και η ταχύτητα της οποίας έχουν ιδιαίτερη σημασία σε περίπτωση απόλυσης εργαζομένου. Είναι ένα θέμα το οποίο επιτάσσει και ο Χάρτης Θεμελιωδών Δικαιωμάτων του Ανθρώπου και το παράγωγο Κοινοτικό Δίκαιο της Ευρωπαϊκής Ένωσης.
Είναι θέματα τα οποία, κύριε Υπουργέ, έχουν εξαιρετικά κρίσιμη σημασία στην παρούσα συγκυρία. Θα μπορούσε ίσως, για λόγους ασφάλειας δικαίου, να παρέχεται η δυνατότητα διαταγής προσωρινής απασχόλησης του απολυθέντος στις περιπτώσεις που ζητείται η αναγνώριση της ακυρότητας της απόλυσης.
Άλλο ένα θέμα που θα ήταν ίσως η ευκαιρία να επιλυθεί με αυτό το νομοσχέδιο είναι η κατάργηση της προνομιακής διάταξης των φορέων κοινωνικής ασφάλισης σε πλειστηριασμούς στην ίδια τάξη με τις εργατικές απαιτήσεις. Δεν είμαι βέβαιη, κύριε Υπουργέ, αν κάνατε κάποια παρέμβαση σε αυτό. Λυπάμαι που δεν το ξέρω. Θα χαιρόμουν να ακούσω ότι έχει υπάρξει κάτι από την πλευρά σας. Αυτό βέβαια συνδέεται με τη διάταξη του άρθρου 41 του ν.3863/2010 που, κατά την άποψή μας, αντίκειται και σε διεθνείς συμβάσεις εργασίας και αν γνωρίζω καλά, αν έχω σωστή πληροφορία, η ΓΣΕΕ έχει ήδη προσφύγει στα αρμόδια όργανα της Διεθνούς Οργάνωσης Εργασίας γι’ αυτό.
Επίσης, η εισαγωγή περιορισμού ή στέρησης των ετήσιων αδειών ή περιστολής των μισθών των δικαστών θεωρώ ότι είναι αντίθετη στο Κοινοτικό Δίκαιο όσον αφορά το θεμελιώδες δικαίωμα, αν θέλετε, του δικαστή και του κάθε εργαζόμενου, αν το δούμε και έτσι, στην ελάχιστη ετήσια άδεια που αυτό προβλέπει. 
 Το ίδιο ακριβώς ισχύει και για το δικαίωμα στη γονική άδεια. Άρα, η μείωση της γονικής άδειας των δικαστικών λειτουργών προσκρούει, κατά την άποψή μας, στις αρχές του Συντάγματος, αλλά και της κοινοτικής νομοθεσίας περί της προστασίας της οικογένειας και της οικογενειακής ζωής. Ιδιαίτερα δε, προσκρούει στην ανάγκη του συνδυασμού της οικογενειακής και προσωπικής με την επαγγελματική ζωή και σημειώνεται ότι ο θεσμός της γονικής άδειας είναι ένας κρίσιμος θεσμός για την αύξηση και της γυναικείας απασχόλησης που, όπως γνωρίζουμε, αποτελεί έναν βασικό αναπτυξιακό παράγοντα. 
Τέλος, δύο λόγια, κύριε Υπουργέ, όσον αφορά ορισμένα ζητήματα των υποθηκοφυλάκων, όπως από τους ίδιους έχουν τεθεί. Εκτιμώ ότι από την αρμοδιότητα των ειρηνοδικείων της εκούσιας δικαιοδοσίας θα πρέπει να εξαιρεθούν και οι υποθέσεις εκούσιας δικαιοδοσίας που αφορούν τα υποθηκοφυλακεία, καθώς είναι συναφείς και αλληλοεξαρτώμενες με τις αντίστοιχες υποθέσεις που καθιερώνονται με το θεσμό του κτηματολογίου. Επίσης, ίσως θα άξιζε να εξεταστεί και η υπαγωγή των ειδικών, άμισθων υποθηκοφυλάκων στις διατάξεις περί αγωγής κακοδικίας, ώστε να μπορούν να ασκούν απρόσκοπτα τα καθήκοντά τους.
Με την ευκαιρία να θυμίσω, κύριε Υπουργέ, κάτι που και οι ίδιοι έχουν θέσει: την ανάγκη, δηλαδή, να δοθεί μία λύση στο χρονίζον ζήτημα της πλήρωσης κενών θέσεων υποθηκοφύλακα, όπως συμβαίνει αυτή τη στιγμή και σε μεγάλα υποθηκοφυλακεία της χώρας, που παραμένουν χωρίς το φυσικό τους προϊστάμενο και αυτό βεβαίως πάντοτε έχει και επίπτωση στην εξυπηρέτηση των πολιτών.
Κυρίες και κύριοι συνάδελφοι, κλείνοντας θα ήθελα με τη σειρά μου να σημειώσω ότι αναγνωρίζουμε τα θετικά βήματα του νομοσχεδίου αυτού για την επιτάχυνση των διαδικασιών απονομής δικαιοσύνης που γίνονται με το παρόν νομοσχέδιο, γι’ αυτό και το υπερψηφίζουμε επί της αρχής. Ωστόσο θα πρέπει να δούμε και στο εγγύς μέλλον με σοβαρότητα μια συνολική θεσμική και διοικητική αναμόρφωση του συστήματος που θα έρθει να συμπληρώσει και να ενισχύσει τα αποτελέσματα νομοθετικών πρωτοβουλιών και αυτό πιστεύω ότι πρέπει να γίνεται πάντα μέσα από συστηματική και ουσιαστική αξιολόγηση και διάλογο.
Σας ευχαριστώ.
(Χειροκροτήματα από την πτέρυγα της Νέας Δημοκρατίας)";"Ροδούλα Ζήση"
"468";"): Ευχαριστούμε την κ. Ευγενία Τσουμάνη-Σπέντζα, Βουλευτή της Νέας Δημοκρατίας.
Καλείται να λάβει το λόγο η Βουλευτής Α΄ Αθηνών της Νέας Δημοκρατίας, κ. Φωτεινή Πιπιλή.
Παρακαλώ, κυρία Πιπιλή, έχετε το λόγο.";"Ροδούλα Ζήση"
